interview_id,application_id,interview_round,interview_status,interview_date,rating,feedback
1,1,Technical Round 1,No Show,2026-05-30 04:57:43,,
2,2,HR,Completed,2026-02-11 23:26:08,4.8,Leave show song here stuff itself value share.
3,7,Technical Round 2,Selected,2026-07-04 21:09:13,3.0,Organization model woman doctor another middle suggest evidence.
4,12,Technical Round 2,Completed,2026-02-16 18:37:56,1.7,Work first above region argue popular seven clearly.
5,15,Technical Round 2,Selected,2026-05-24 13:27:14,1.2,Television than collection environment face seat report beyond church.
6,20,Technical Round 2,Selected,2026-05-04 09:29:48,4.2,Leg offer product feeling city suffer success that sense add ten beautiful they top data.
7,26,Technical Round 2,Rejected,2026-04-14 09:23:25,2.5,Outside commercial mother half attack determine move create man race can offer recent culture than.
8,27,HR,No Show,2026-07-05 03:15:33,,
9,28,Technical Round 1,Selected,2026-02-09 10:33:16,4.0,Finish almost follow evidence whose toward public rise clearly down many.
10,29,Technical Round 1,Rejected,2026-07-04 04:52:35,1.9,Check around if send foreign none daughter throw read certainly anything break maintain for house.
11,30,Hiring Manager,Selected,2026-05-16 10:49:48,2.9,Fact chair agree car subject center seek newspaper support physical join contain describe war strategy worker.
12,33,Technical Round 2,Completed,2025-10-17 09:57:09,2.4,Get throughout anything response radio yard north.
13,45,Technical Round 1,Selected,2026-05-27 05:49:46,4.5,Visit series kind power cover bit something determine without middle off idea knowledge.
14,46,Technical Round 2,Rejected,2026-06-05 13:45:19,3.0,Me anything voice phone wind respond property north happy reality radio top.
15,49,HR,No Show,2026-06-16 07:12:39,,
16,59,HR,Rejected,2026-06-24 23:51:33,4.9,Listen chance teacher share Republican unit hour.
17,60,Technical Round 1,Rejected,2026-04-23 03:44:40,4.1,Along over soldier painting street job who watch represent ago soldier raise remain mention.
18,62,Technical Round 2,Rejected,2026-06-14 11:53:06,1.4,Civil guess take wonder design meet art today almost back.
19,63,Technical Round 1,Selected,2026-06-11 05:01:55,1.4,Black director go believe thank half hundred leave process its per.
20,66,HR,Selected,2026-03-01 17:25:07,1.7,Evening power itself experience edge catch already catch sometimes performance little.
21,70,Technical Round 2,Completed,2026-06-12 20:32:48,3.7,Condition career test sure price bed chair indeed.
22,71,Technical Round 1,No Show,2026-07-02 04:46:41,,
23,73,Technical Round 2,Rejected,2026-04-02 09:36:17,2.3,Senior space worker professional garden resource science ago discover beautiful describe impact.
24,84,Hiring Manager,Selected,2026-06-02 02:06:13,2.1,Seat war state manage meeting probably young.
25,87,HR,No Show,2026-06-13 06:25:00,,
26,89,Technical Round 2,Selected,2026-06-09 01:19:34,4.5,Late believe goal understand fear save bring it research live.
27,91,Technical Round 1,No Show,2026-05-04 05:01:52,,
28,92,Hiring Manager,Rejected,2026-06-05 08:30:15,2.1,Show admit increase beautiful address then candidate run effect real news during road together.
29,93,Technical Round 2,Rejected,2026-07-01 17:53:43,2.6,Present break send blood see power open for environmental.
30,96,Technical Round 2,Rejected,2026-05-20 17:10:36,1.9,Walk reduce example major detail spring audience item read involve.
31,98,Technical Round 2,No Show,2026-06-07 14:33:56,,
